"date","mkt_rf","smb","hml","rf","Mom"
"1950-05-31",0.0434191772,-0.0203470639,0.0044834141,0.0010405202,0.0046756015
"1950-06-30",-0.0592560007,-0.0251643635,-0.0073108408,0.0008803697,-0.0176337895
"1950-07-31",0.0135427026,0.0055786103,0.1381205883,0.0010004751,-0.0202838660
"1950-08-31",0.0485076199,0.0068718467,-0.0132963862,0.0009204049,0.0178590044
"1950-09-30",0.0482683400,0.0053673688,-0.0102999747,0.0010004751,-0.0150479662
"1950-10-31",-0.0018004703,-0.0058546535,0.0148209732,0.0012507503,0.0141319363
"1950-11-30",0.0275319081,-0.0085134515,0.0324936980,0.0011506327,0.0342693223
"1950-12-31",0.0554282498,0.0147145201,0.0707952758,0.0012006903,0.0474233433
"1951-01-31",0.0573082074,0.0166441220,0.0360920970,0.0013008128,0.0069446252
"1951-02-28",0.0140678666,0.0008704442,-0.0278286505,0.0011005777,-0.0152522131
"1951-03-31",-0.0214412605,-0.0065336732,-0.0419731663,0.0010405202,-0.0351938691
"1951-04-30",0.0488612239,-0.0145302414,0.0321357388,0.0012507503,0.0514715213
"1951-05-31",-0.0237046566,-0.0001549965,-0.0133302639,0.0013008128,-0.0224301321
"1951-06-30",-0.0262194537,-0.0199549271,-0.0402893089,0.0012607563,-0.0065208302
"1951-07-31",0.0692761500,-0.0191187191,0.0194711604,0.0012607563,0.0613146990
"1951-08-31",0.0428691482,0.0095157656,-0.0012136213,0.0013809112,0.0125010190
"1951-09-30",0.0068713462,0.0188325328,0.0060643859,0.0011406158,-0.0013490099
"1951-10-31",-0.0253856958,-0.0022715499,0.0027830552,0.0015611706,-0.0091822153
"1951-11-30",0.0057420615,-0.0030302882,-0.0007485202,0.0011506327,0.0012825357
"1951-12-31",0.0334954410,-0.0219044793,-0.0153542542,0.0012507503,0.0145650927
"1952-01-31",0.0146282798,-0.0058444025,0.0151533747,0.0015611706,0.0115369272
"1952-02-29",-0.0265316528,0.0080878217,-0.0063357034,0.0011506327,-0.0252915183
"1952-03-31",0.0444560749,-0.0288559221,0.0216351969,0.0010405202,0.0137395301
